id,tile,row,col,elev,aspect,slope,lat,lon,e_lv95,n_lv95,band,asp_c,slope_cls
t3_2400_NE_20-30_73,3,777,444,2345.8,32.5,29.8,46.102072,7.323879,2591125.0,1105625.0,2400,NE,20-30
t3_2400_NE_20-30_74,3,781,463,2348.3,65.1,23.9,46.093123,7.385313,2595875.0,1104625.0,2400,NE,20-30
t3_2400_E_20-30_75,3,720,558,2412.2,101.4,21.1,46.230034,7.693025,2619625.0,1119875.0,2400,E,20-30
t3_2400_SE_20-30_76,3,865,398,2445.2,127.7,26.8,45.903923,7.176122,2579625.0,1083625.0,2400,SE,20-30
t3_2400_SE_20-30_77,3,752,325,2373.9,157.1,27.1,46.157241,6.938653,2561375.0,1111875.0,2400,SE,20-30
t3_2400_S_20-30_78,3,823,669,2384.7,173.7,21.4,45.997026,8.050113,2647375.0,1094125.0,2400,S,20-30
t3_2400_S_20-30_79,3,828,648,2363.7,202.0,21.8,45.98613,7.982242,2642125.0,1092875.0,2400,S,20-30
t3_2400_SW_20-30_80,3,770,506,2284.2,239.1,24.7,46.117842,7.524344,2606625.0,1107375.0,2400,SW,20-30
t3_2400_W_20-30_81,3,810,585,2389.4,269.6,24.6,46.027406,7.779255,2626375.0,1097375.0,2400,W,20-30
t3_2400_NW_20-30_82,3,792,305,2531.8,296.4,22.2,46.066982,6.874864,2556375.0,1101875.0,2400,NW,20-30
t3_2400_NW_20-30_83,3,839,328,2426.1,324.6,25.3,45.961636,6.950119,2562125.0,1090125.0,2400,NW,20-30
t3_2400_N_30-42_84,3,815,348,2419.3,1.9,33.1,46.01587,7.01419,2567125.0,1096125.0,2400,N,30-42
t3_2400_NE_30-42_85,3,801,597,2390.0,35.5,31.2,46.047522,7.818136,2629375.0,1099625.0,2400,NE,30-42
t3_2400_NE_30-42_86,3,719,637,2361.5,62.5,32.0,46.231418,7.949042,2639375.0,1120125.0,2400,NE,30-42
t3_2400_E_30-42_87,3,787,537,2490.4,84.7,37.1,46.079491,7.624463,2614375.0,1103125.0,2400,E,30-42
t3_2400_SE_30-42_88,3,860,498,2435.8,122.3,34.5,45.915461,7.498255,2604625.0,1084875.0,2400,SE,30-42
t3_2400_SE_30-42_89,3,734,585,2400.6,143.4,33.9,46.198319,7.780321,2626375.0,1116375.0,2400,SE,30-42
t3_2400_S_30-42_90,3,775,648,2406.6,191.5,34.5,46.105317,7.983428,2642125.0,1106125.0,2400,S,30-42
t3_2400_SW_30-42_91,3,849,418,2419.1,212.9,35.8,45.940037,7.240415,2584625.0,1087625.0,2400,SW,30-42
t3_2400_SW_30-42_92,3,792,652,2407.2,244.6,38.8,46.067024,7.99597,2643125.0,1101875.0,2400,SW,30-42
t3_2400_W_30-42_93,3,833,456,2382.2,268.3,36.7,45.976169,7.362851,2594125.0,1091625.0,2400,W,30-42
t3_2400_NW_30-42_94,3,849,382,2417.0,305.6,40.2,45.939771,7.124376,2575625.0,1087625.0,2400,NW,30-42
t3_2400_NW_30-42_95,3,859,511,2425.5,321.4,36.0,45.91768,7.540144,2607875.0,1085125.0,2400,NW,30-42
t3_2400_N_42-55_96,3,764,309,2387.1,352.5,45.2,46.130014,6.887149,2557375.0,1108875.0,2400,N,42-55
t3_2400_NE_42-55_97,3,765,324,2366.4,39.7,47.3,46.127992,6.935687,2561125.0,1108625.0,2400,NE,42-55
t3_2400_NE_42-55_98,3,760,321,2446.6,64.7,46.7,46.139192,6.925878,2560375.0,1109875.0,2400,NE,42-55
t3_2400_E_42-55_99,3,784,637,2324.0,89.9,48.7,46.085243,7.947677,2639375.0,1103875.0,2400,E,42-55
t3_2400_SE_42-55_100,3,777,622,2332.6,120.2,48.0,46.101193,7.899331,2635625.0,1105625.0,2400,SE,42-55
t3_2400_SE_42-55_101,3,785,576,2377.4,140.8,44.2,46.083711,7.750519,2624125.0,1103625.0,2400,SE,42-55
t3_2400_S_42-55_102,3,816,561,2387.9,188.3,46.5,46.01412,7.701707,2620375.0,1095875.0,2400,S,42-55
t3_2400_SW_42-55_103,3,854,505,2376.9,218.3,45.4,45.92894,7.520828,2606375.0,1086375.0,2400,SW,42-55
t3_2400_SW_42-55_104,3,781,645,2410.7,235.8,43.0,46.09187,7.973597,2641375.0,1104625.0,2400,SW,42-55
